date,block,charge_kwh,discharge_kwh,time,soc_kwh
2025-03-20,0:00-4:00,8081.183478306877,154.5987333333336,0:00,2166.60108452381
2025-03-20,4:00-8:00,1903.944708994712,4876.332138311662,24:00,2053.8404544444456
2025-03-20,8:00-12:00,5621.973683333334,2777.3772166666668,,
2025-03-20,12:00-16:00,4162.940181513517,563.2159285714283,,
2025-03-20,16:00-20:00,283.82681363903646,4757.42979047619,,
2025-03-20,20:00-24:00,574.422233333333,3681.446550000001,,
2025-06-21,0:00-4:00,1499.6110499999995,0.0,0:00,4135.125512037037
2025-06-21,4:00-8:00,1169.6552645312695,1384.2844744369966,24:00,4613.062987407406
2025-06-21,8:00-12:00,6445.142961522639,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,34.73112874779771,4198.039064285716,,
2025-06-21,20:00-24:00,2065.644533333333,3071.508533333333,,
2025-09-23,0:00-4:00,9184.942865138151,0.0,0:00,1391.028078518518
2025-09-23,4:00-8:00,1437.6703083894822,5805.168419047619,24:00,1942.587455400642
2025-09-23,8:00-12:00,5135.586740476195,1896.615716666667,,
2025-09-23,12:00-16:00,4806.503190374138,713.3193721855663,,
2025-09-23,16:00-20:00,281.09409523809506,4857.120771428572,,
2025-09-23,20:00-24:00,758.1123500000009,3730.539016666668,,
2025-12-21,0:00-4:00,8826.454250499704,45.678533333333576,0:00,2025.0610195502657
2025-12-21,4:00-8:00,1752.623793621398,625.9296,24:00,2107.1756033597862
2025-12-21,8:00-12:00,5173.191390476191,7076.70909047619,,
2025-12-21,12:00-16:00,6275.855898833854,2197.0192138649472,,
2025-12-21,16:00-20:00,0.0,4799.327357142858,,
2025-12-21,20:00-24:00,668.0386833333329,3565.325933333333,,
