date,candidate_hour,instant_error_kw,median30_error_kw
2025-02-01,07:00,6.4465999999999894,164.7856915471239
2025-02-02,07:00,-1.8007000000000062,169.39303087865855
2025-02-03,07:00,2.7579999999999814,179.94399106116666
2025-02-04,07:00,2.11790000000002,136.97569303459386
2025-02-05,07:00,0.4490999999999872,141.22231680646462
2025-02-06,07:00,0.9210000000000491,145.6721414589083
2025-02-07,07:00,-4.775300000000016,137.05026544265502
2025-02-08,07:00,6.7835999999999785,144.56244824793902
2025-02-09,07:00,-2.026100000000042,140.9446141508834
2025-02-10,07:00,-0.1791000000000622,145.5570003109199
2025-02-11,07:00,5.572400000000016,141.32529311028676
2025-02-12,07:00,0.46100000000001273,124.1308917073544
2025-02-13,07:00,0.47690000000000055,125.60841038392472
2025-02-14,07:00,2.9676999999999225,122.33842606341075
2025-02-15,07:00,4.1387999999999465,111.97922072845488
2025-02-16,07:00,3.345100000000002,104.53518838560386
2025-02-17,07:00,-4.141099999999938,132.31450142400647
2025-02-18,07:00,-16.689000000000078,116.3431884944464
2025-02-19,07:00,1.5587000000000444,91.27795385075089
2025-02-20,07:00,-2.8822000000000116,129.45338986996282
2025-02-21,07:00,-26.459299999999985,84.50558555243722
2025-02-22,07:00,4.253600000000006,99.32934930867825
2025-02-23,07:00,-4.601600000000076,77.14582884459796
2025-02-24,07:00,-7.424099999999953,72.18256796083364
2025-02-25,07:00,18.78300000000013,138.09425564304095
2025-02-26,07:00,-3.0924999999999727,83.49463669446513
2025-02-27,07:00,-6.280999999999949,89.82925889239479
2025-02-28,07:00,-6.810799999999972,37.24434687384044
2025-03-01,07:00,3.8728000000000975,101.32658567275647
2025-03-02,07:00,-15.323200000000043,30.45487977683257
2025-03-03,07:00,17.543899999999894,65.56612882683754
2025-03-04,07:00,-6.00630000000001,94.3429460498005
2025-03-05,07:00,9.761999999999944,61.92300832092229
2025-03-06,07:00,-0.9922999999998865,33.21601384732935
2025-03-07,07:00,-2.6143999999999323,54.12470321425178
2025-03-08,07:00,11.72050000000013,59.07289526064869
2025-03-09,07:00,4.909200000000055,4.909200000000112
2025-03-10,07:00,15.863100000000031,42.197698859205616
2025-03-11,07:00,2.0438000000001466,49.73805634912037
2025-03-12,07:00,-10.05560000000014,43.07855203109153
2025-03-13,07:00,18.96680000000015,111.98045592865935
2025-03-14,07:00,13.89930000000004,75.93900478865498
2025-03-15,07:00,-17.636599999999817,17.415623428883237
2025-03-16,07:00,2.8418000000001484,13.652692927650548
2025-03-17,07:00,-9.638699999999744,85.85793832496495
2025-03-18,07:00,-9.34660000000008,-9.34660000000008
2025-03-19,07:00,-9.266399999999749,38.46268905851167
2025-03-20,07:00,34.25059999999985,129.62324689201745
2025-03-21,07:00,6.240799999999808,-10.784476975787129
2025-03-22,07:00,-3.778099999999995,40.03858591269727
2025-03-23,07:00,-14.35550000000012,76.36441036529209
2025-03-24,07:00,-5.686799999999721,19.287590507680136
2025-03-25,07:00,-4.710800000000063,-6.453524989455843
2025-03-26,07:00,-10.263899999999921,63.05465372559104
2025-03-27,07:00,19.447200000000066,19.447199999999953
2025-03-28,07:00,-15.77299999999991,55.92968942656307
2025-03-29,07:00,-3.8841999999999643,-8.080247458805047
2025-03-30,07:00,-8.493099999999913,13.345705102258535
2025-03-31,07:00,-18.759900000000243,-18.759900000000243
2025-04-01,07:00,-12.40930000000003,53.58455012510524
2025-04-02,07:00,-17.58900000000017,19.270044020202477
2025-04-03,07:00,-3.632799999999861,17.14213187909627
2025-04-04,07:00,20.375499999999874,18.503142826293583
2025-04-05,07:00,-9.77559999999994,-9.775599999999827
2025-04-06,07:00,17.098999999999705,-20.567149045409906
2025-04-07,07:00,31.578700000000026,6.04905584445487
