seconds,scenario_count,binary_cells,separation_rounds,solver_status,relative_gap,relaxed_objective,direction_feasible_objective,date,scenario_expected_emergency_cost,scenario_mean_final_soc,max_direction_violation_kwh
0.0,0,0,0,0,0.0,0.0,0.0,2025-01-01,,,
0.007845099993573967,1,0,0,0,0.0,61064.508333532525,61064.50833353255,2025-01-02,6.947402653167955e-13,1200.0,1.1368683772161603e-13
0.006118400000559632,1,0,0,0,0.0,61388.29723528575,61388.29723528573,2025-01-03,1.8726695914126504e-12,1200.0,1.8667098045648056e-13
0.006375700002536178,1,0,0,0,0.0,45611.17885465657,45611.17885465658,2025-01-04,1.4213696886145043e-13,1200.0,5.684341886080802e-14
0.007212299999082461,1,0,0,0,0.0,40410.39381624292,40410.393816242926,2025-01-05,2.658850917214295e-13,1200.0,5.684341886080802e-14
0.006291099998634309,1,0,0,0,0.0,46281.478457828154,46281.47845782817,2025-01-06,8.584947863710114e-12,1200.0,5.684341886080802e-14
0.006284900002356153,1,0,0,0,0.0,48590.12738867857,48590.12738867856,2025-01-07,1.417816974935704e-13,1200.0,0.0
0.0062793999968562275,1,0,0,0,0.0,50405.102538545485,50405.10253854551,2025-01-08,6.986056177993306e-13,1200.0,5.684341886080802e-14
0.006052299999282695,1,0,0,0,0.0,59333.300239471224,59333.30023947125,2025-01-09,5.676099590345983e-13,1200.0,0.0
0.014442300001974218,2,0,0,0,0.0,60234.04147728138,60234.04147728143,2025-01-10,3.997735050954013e-11,1276.2097730555552,4.18509671362699e-12
0.45992979999573436,3,432,3,0,0.0,56100.44882213765,56100.44882213765,2025-01-11,1.2166191017589275e-12,4004.583490740741,1.1723955140041653e-13
0.6707441000035033,4,576,3,0,0.0,55087.17581927786,55087.17581927787,2025-01-12,1.290552636978859e-12,5251.574884927248,4.547473508864641e-13
0.11477849999937462,5,1,1,0,0.0,59223.83701738942,59223.83701738944,2025-01-13,4.1226757119261497e-11,4625.872359952173,5.583977724654687e-12
1.565772800000559,6,864,3,0,3.243369847637968e-09,59193.394080956874,59198.559401614286,2025-01-14,50.08829725641353,4184.733664271692,9.263259114083034e-12
1.3963369999983115,7,1008,3,0,0.0,59017.8208029358,59030.87897138574,2025-01-15,43.5134844789102,3741.666959118816,2.0463630789890886e-13
2.2537088000026415,8,1152,3,0,0.0,59287.07979466998,59317.07713981612,2025-01-16,78.4857618876656,3408.034734994807,1.1368683772161603e-13
3.5799039999983506,9,1296,3,0,2.086140288313822e-05,59248.58827651047,59264.738546483146,2025-01-17,71.0088845737635,3172.3086624297794,2.2737367544323203e-13
5.135850300001039,10,1440,3,0,2.847302917394567e-05,54879.10433326961,54897.520143097136,2025-01-18,102.31547916350667,3883.0169492761365,2.795646750807877e-13
5.812932400003774,11,1584,3,0,1.5622216069843942e-06,54398.41975637218,54413.47387512546,2025-01-19,122.26086399176101,4412.4717241919425,1.1368683772161603e-13
4.4576147999978275,12,1728,3,0,4.281242039336786e-06,58209.45349919995,58225.01555101075,2025-01-20,90.20832332738298,4152.589935386111,2.0463630789890883e-13
9.485825399999158,13,1872,3,0,1.364301428045852e-05,58166.18990077793,58183.00066105647,2025-01-21,108.1166582090373,3947.2638453872455,1.319292503814446e-12
9.396426499995869,14,2016,3,0,9.236495642989119e-05,57497.72668340746,57521.752135343915,2025-01-22,112.3692549941582,3798.1806420104426,1.1368683772161603e-13
9.279081700005918,15,2160,3,0,8.740849096038289e-05,57854.186509142266,57934.03386488401,2025-01-23,249.13215242527886,3632.3185759898493,2.1333826337883496e-13
22.9894037999984,16,2304,3,0,9.683491583856437e-05,58115.44866716268,58276.8099771072,2025-01-24,394.23081403522116,3454.644137053632,6.0254023992456496e-12
22.83334929999546,17,2448,3,0,2.7285075233566932e-05,53762.99979775171,53922.674884643166,2025-01-25,451.5367885641878,3873.842841835031,4.547473508864641e-12
23.68208400000003,18,2592,3,0,7.348688916229953e-05,53180.00516632716,53340.08751451175,2025-01-26,463.30024279887766,4195.406698071132,7.296592665265166e-09
12.156202699996356,19,2736,3,0,9.410974978180178e-05,57025.412896929454,57143.82702063398,2025-01-27,296.5847699872409,4038.5501945395586,2.0463630789890886e-13
20.114471100001538,20,2880,3,0,1.4106319657802613e-05,56528.653260180996,56649.7410726742,2025-01-28,322.2115122667607,3898.941796978133,4.142464149481384e-12
23.741014999999607,21,3024,3,0,6.0207364204015147e-05,56995.97719803156,57077.655344410596,2025-01-29,304.26669177821714,3776.718065061298,1.1368683772161603e-13
24.993354400001408,21,3024,3,0,4.1124626938823774e-05,55881.070962155594,55962.559874465915,2025-01-30,283.49465000075696,3773.452716395325,5.052748343182934e-13
22.206392100000812,21,3024,3,0,4.616681785627436e-05,55463.15084591846,55549.48394339332,2025-01-31,299.88120709633125,3764.761716555131,2.526374171591467e-13
23.762578500005475,21,3024,3,0,9.577385811323106e-05,51338.032960321914,51425.16380681004,2025-02-01,313.27380109672816,3770.9275494803305,1.603162047558726e-13
31.414915599998494,21,3024,3,0,5.2650051484827685e-05,50885.43519789973,50969.40022161896,2025-02-02,316.7309941136345,3793.326781618779,1.4298198662603994e-06
29.04269519999798,21,3024,3,0,4.2121201374174774e-05,53667.49871972295,53752.768592722736,2025-02-03,284.70582868517766,3818.9201043926732,1.5347723092418164e-12
27.88860289999866,21,3024,3,0,8.622313826913418e-05,53363.826430871195,53450.831619671895,2025-02-04,275.8782012031158,3843.8115913957604,8.526512829121202e-13
