date,slot,interval_start,load_kwh,pv_kwh,price,forecast_load_kwh,forecast_pv_kwh,planning_net_kwh,residual_count,grid_kwh,plan_charge_kwh,plan_discharge_kwh,plan_soc_kwh,reserve_kwh,soc_start_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_end_kwh,planned_cost,emergency_cost,total_cost
2025-01-01,0,2025-01-01 00:00:00,588.2882666666667,0.0,0.4276,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,6000.0,0.0,588.2882666666667,0.0,0.0,5346.34637037037,0.0,0.0,0.0
2025-01-01,1,2025-01-01 00:10:00,601.5881166666667,0.0,0.4248,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,5346.34637037037,0.0,601.5881166666667,0.0,0.0,4677.9151296296295,0.0,0.0,0.0
2025-01-01,2,2025-01-01 00:20:00,621.0933333333334,0.0,0.4245,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,4677.9151296296295,0.0,621.0933333333334,0.0,0.0,3987.811425925926,0.0,0.0,0.0
2025-01-01,3,2025-01-01 00:30:00,585.1051833333333,0.0,0.4269,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,3987.811425925926,0.0,585.1051833333333,0.0,0.0,3337.694555555556,0.0,0.0,0.0
2025-01-01,4,2025-01-01 00:40:00,583.7604166666666,0.0,0.4272,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,3337.694555555556,0.0,583.7604166666666,0.0,0.0,2689.0718703703706,0.0,0.0,0.0
2025-01-01,5,2025-01-01 00:50:00,631.1683333333334,0.0,0.4271,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,2689.0718703703706,0.0,631.1683333333334,0.0,0.0,1987.7737222222222,0.0,0.0,0.0
2025-01-01,6,2025-01-01 01:00:00,650.0534166666666,0.0,0.4285,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,1987.7737222222222,0.0,650.0534166666666,0.0,0.0,1265.4921481481483,0.0,0.0,0.0
2025-01-01,7,2025-01-01 01:10:00,652.8062666666666,0.0,0.4311,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,1265.4921481481483,0.0,58.942933333333485,593.8633333333331,0.0,1200.0,0.0,1280.0724149999994,1280.0724149999994
2025-01-01,8,2025-01-01 01:20:00,636.2133333333334,0.0,0.4302,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,0.0,0.0,636.2133333333334,0.0,1200.0,0.0,1368.4948800000002,1368.4948800000002
2025-01-01,9,2025-01-01 01:30:00,588.8356,0.0,0.4279,,,0.0,0,0.0,0.0,0.0,1200.0,1200.0,1200.0,0.0,0.0,588.8356,0.0,1200.0,0.0,1259.8137662,1259.8137662
