date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,56001.39298564216,51229.024885540144,4772.368100102019,0.0,26617.360985952862,14789.133779654583,0.0,5022.621745908531,21330.405896858032,1165.920496843892,0.0,0.0,22496.326393701922,2122.4825093090917,9645.736530383798
2025-02-02,86493.25760234875,82224.013566089,4288.693919687829,19.449883428081648,15871.533897738715,18783.416023857677,0.0,6779.617742207959,59421.35731381374,1696.1519712106551,30.814323358426215,0.0,61148.32360838283,9645.736530383798,3059.6547896178904
2025-02-03,93851.8745778519,87923.29443201202,5928.5801458398855,0.0,22833.520626639038,19153.308355567056,0.0,4026.1656609400284,62781.998318518556,2609.852868873373,0.0,0.0,65391.851187391934,3059.6547896178904,2328.369625185186
2025-02-04,98189.57178632458,91781.77262945827,6407.799156866318,0.0,23748.485599069925,19288.072871355325,0.0,6126.495951743661,65614.33063429866,2798.4026457143095,0.0,0.0,68412.73328001297,2328.369625185186,2270.814585064419
2025-02-05,92388.07666681288,90420.57466896786,2220.3691920214624,252.86719417644736,22965.351847705973,18188.719314533155,0.0,4895.515152461713,63946.626696603285,996.6681832701732,396.9410388488794,0.0,65340.235918722334,2270.814585064419,2729.94312074074
2025-02-06,97197.22476802312,88643.43637730826,8553.78839071486,0.0,25383.28191405113,20974.746119714746,5.096551549355809,3968.939917854568,63382.17669088231,3707.867039425945,0.0,35.7064401547868,67125.75017046304,2729.94312074074,2269.6233770370372
2025-02-07,47065.06949212842,42269.19404590267,4795.875446225751,0.0,19392.09202139917,16231.42006340213,0.0,7302.8424212389655,18003.38542539663,998.7890778667132,0.0,0.0,19002.174503263344,2269.6233770370372,1687.5950147383708
2025-02-08,46421.94435408468,46591.83451828701,5.1841575441358145e-06,169.89016938649831,28145.555493855376,15556.471428787385,41.12309031971512,2466.710826872073,18637.654982326294,8.579780735544774e-07,157.76650398241446,204.09389725674615,18999.515384423434,1687.5950147383708,9733.626704999999
2025-02-09,80962.07069711498,78466.56781368163,2672.71955308783,177.2166696544829,14714.714111652462,19103.083498105152,0.0,3299.521233467654,57798.93055340673,1304.6080635374617,198.19702905271882,0.0,59301.73564599691,9733.626704999999,1751.221074259262
2025-02-10,86907.62699482567,82508.18973732699,4399.781763190607,0.34450569192597413,22076.258960254276,17325.933611693417,0.0,3431.2268054328038,55863.99623285265,1864.6939898972055,0.49608819637340273,0.0,57729.18631094623,1751.221074259262,2368.8167921620893
2025-02-11,85374.07058493057,81003.90725047834,4389.9152481714855,19.75191371926678,22545.018338118916,18997.413144822207,215.46176319004567,2451.1666870383415,55315.307077225545,2009.481264158843,30.762618022072047,1146.3681606786142,58501.91912008508,2368.8167921620893,1551.0964688888882
2025-02-12,87735.68748657129,83340.97792320872,4394.709563362575,0.0,25563.30456892747,20124.028462970913,3.526941850353751,2638.4926257691786,56432.158959280336,1915.6227197589712,0.0,19.13013259631874,58366.911811635626,1551.0964688888882,2198.038955400373
2025-02-13,80619.51379871242,77747.90023973517,3631.527080074755,759.9135210975138,23820.78620277155,19639.85074960529,834.8101396025994,3072.295909504848,51518.87315487995,1497.037228027805,979.9994556700939,4271.644203074026,58267.55404165187,2198.038955400373,1814.690149444447
2025-02-14,37549.943103476486,37459.47909852741,435.8619324371159,345.39792748804075,20210.597433527477,16434.743973967077,0.0,3881.8238223003395,15712.357496888346,67.4701421696265,321.1911783579782,0.0,16101.01881741595,1814.690149444447,1743.4012018779758
2025-02-15,40185.004129830595,37911.84307510783,2273.161054722769,0.0,20194.8839313219,15437.93875089425,0.0,3874.806794680178,16389.494842174885,480.3948735545271,0.0,0.0,16869.889715729412,1743.4012018779758,2765.5314612962957
2025-02-16,87627.65851159047,82134.85663824754,5492.801873342937,0.0,23015.797303954085,18431.497248747546,7.67986422185777,2180.857347262864,55658.6000423767,2507.672284816427,0.0,39.47450210034894,58205.74682929347,2765.5314612962957,3000.3076473576975
2025-02-17,86245.86771994388,77103.82488293681,9142.042837007077,0.0,22336.192444304143,18775.70996800828,0.0,2359.479239974279,51417.85023145574,3726.9631744657986,0.0,0.0,55144.813405921544,3000.3076473576975,2240.9808827777824
2025-02-18,77450.51567008888,78035.61503968628,1.351706369063777,586.4510759664691,22660.053148222112,17930.28072306796,1.661610465380818,1216.1164416641705,51893.41259665081,0.5592009248816845,609.6308795682243,7.930035946029953,52511.53271308994,2240.9808827777824,2712.49457943551
2025-02-19,78429.85127946909,78660.55958964022,1394.014293576317,1624.7226037474557,21594.915529231283,18598.72170383596,792.9316677259195,3577.970048637491,51122.46188692349,694.6630407032953,1997.1663635045193,4367.661311773401,58181.952602904705,2712.49457943551,1482.6722181481493
2025-02-20,82034.36509240117,78555.16677223441,3520.0387171269726,40.84039696021205,22982.962463287367,18433.905746134275,200.01287086403875,3212.9891926120245,52549.921987430185,1425.5331949457586,57.96725030656491,1072.5672061536582,55105.98963883617,1482.6722181481493,1685.220939402029
2025-02-21,36740.1041216902,36651.739862076116,88.36425961408463,0.0,20240.44463824465,15847.970545797001,0.0,6699.003736295133,15440.519703966142,37.24553542733667,0.0,0.0,15477.765239393479,1685.220939402029,2292.7649518255457
2025-02-22,40762.41346821227,40195.81424510715,566.5992231051226,0.0,22434.66657644388,14528.917081242256,0.0,4445.30186657219,16968.24248736922,152.79554724125373,0.0,0.0,17121.038034610476,2292.7649518255457,6340.723669244755
2025-02-23,75985.90571895997,72702.74504932201,3524.6389529712897,241.47828333333325,19780.383935795562,20245.793628130672,391.4151549159794,2027.7162132397673,49077.056263164995,1424.2495648441582,397.05789830749995,2189.8477564038885,53088.211482720544,6340.723669244755,1647.7429579822456
2025-02-24,78420.57447763477,76438.39669275182,1982.177784882952,0.0,21140.94001443419,16370.095328145173,44.147139845008724,3508.665529641152,50780.865683056785,827.4454433029074,0.0,218.94501018526387,51827.25613654496,1647.7429579822456,2485.5941619228265
2025-02-25,80225.03711028489,72656.89339465028,7568.1437156346,0.0,22642.04491039565,18515.206568653146,275.5577642504498,2984.2895838248983,46902.45450339763,2957.857388247707,0.0,1419.7246305870228,51280.03652223237,2485.5941619228265,2290.982838330973
2025-02-26,73932.51629047052,76465.0876808829,59.83943523996959,2592.410825652358,23271.100589800677,18861.83597687713,0.0,3240.975034626026,48391.51181607816,16.128504173133464,2749.8452324353752,0.0,51157.48555268667,2290.982838330973,2277.377839288106
2025-02-27,74990.34449532742,74055.0271928886,1723.674888425218,788.3575859864164,24400.68815900686,20150.630616654853,504.952735625998,3353.3381861626053,46854.51212446207,634.6035203239626,906.9504837893998,2690.398472226564,51086.46460080199,2277.377839288106,1848.4076083333334
