date,slot,interval_start,load_kwh,pv_kwh,price,forecast_load_kwh,fc_in_effect_kwh,forecast_net_kwh,risk_net_kwh,residual_count,q0_kwh,qA_kwh,down_kwh,up_kwh,plan_ref_soc_kwh,reserve_kwh,stage_signal_kwh,ldr_delta_kwh,ldr_lambda,soc_start_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_end_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,stage,calibration_used
2025-02-01,0,2025-02-01 00:00:00,422.0303666666667,0.0,0.4276,454.32543333333336,0.0,454.32543333333336,467.91596666666675,21,1301.2493000000002,1301.2493000000002,0.0,0.0,2898.5983254415123,1200.0,0.0,-3528.2261098035774,0.0,2148.5983254415123,833.3333333333334,0.0,0.0,45.88560000000018,2898.5983254415123,556.41420068,0.0,0.0,0.0,556.41420068,1,True
2025-02-01,1,2025-02-01 00:10:00,415.4073166666667,0.0,0.4248,446.6726833333333,0.0,446.6726833333333,459.5054666666667,21,1292.8388,1292.8388,0.0,0.0,3648.5983254415123,1200.0,0.0,-3528.2261098035774,0.0,2898.5983254415123,833.3333333333334,0.0,0.0,44.09814999999992,3648.5983254415123,549.19792224,0.0,0.0,0.0,549.19792224,1,True
2025-02-01,2,2025-02-01 00:20:00,410.7166666666667,0.0,0.4245,443.3066666666667,0.0,443.3066666666667,456.85499999999996,21,1290.1883333333333,1290.1883333333333,0.0,0.0,4398.598325441512,1200.0,0.0,-3528.2261098035774,0.0,3648.5983254415123,833.3333333333334,0.0,0.0,46.13833333333321,4398.598325441512,547.6849474999999,0.0,0.0,0.0,547.6849474999999,1,True
2025-02-01,3,2025-02-01 00:30:00,430.29479999999995,0.0,0.4269,476.9869166666667,0.0,476.9869166666667,497.2713166666667,21,1330.60465,1330.60465,0.0,0.0,5148.598325441512,1620.372215637935,0.0,-3528.2261098035774,0.0,4398.598325441512,833.3333333333334,0.0,0.0,66.97651666666673,5148.598325441512,568.035125085,0.0,0.0,0.0,568.035125085,1,True
2025-02-01,4,2025-02-01 00:40:00,424.4105833333333,0.0,0.4272,484.26815000000005,0.0,484.26815000000005,508.03736666666674,21,1341.3707000000002,1341.3707000000002,0.0,0.0,5898.598325441512,2370.372215637935,0.0,-3528.2261098035774,0.0,5148.598325441512,833.3333333333334,0.0,0.0,83.62678333333349,5898.598325441512,573.0335630400001,0.0,0.0,0.0,573.0335630400001,1,True
2025-02-01,5,2025-02-01 00:50:00,406.0516666666667,0.0,0.4271,468.2083333333333,0.0,468.2083333333333,502.28833333333324,21,1335.6216666666667,1335.6216666666667,0.0,0.0,6648.598325441512,3120.372215637935,0.0,-3528.2261098035774,0.0,5898.598325441512,833.3333333333334,0.0,0.0,96.23666666666657,6648.598325441512,570.4440138333333,0.0,0.0,0.0,570.4440138333333,1,True
2025-02-01,6,2025-02-01 01:00:00,436.7501833333333,0.0,0.4285,490.43896666666666,0.0,490.43896666666666,512.8706500000001,21,1346.2039833333333,1346.2039833333333,0.0,0.0,7398.598325441512,3870.372215637935,0.0,-3528.2261098035774,0.0,6648.598325441512,833.3333333333334,0.0,0.0,76.12046666666663,7398.598325441512,576.8484068583333,0.0,0.0,0.0,576.8484068583333,1,True
2025-02-01,7,2025-02-01 01:10:00,451.7976833333333,0.0,0.4311,487.2113166666666,0.0,487.2113166666666,501.4538833333333,21,501.4538833333333,501.4538833333333,0.0,0.0,7398.598325441512,3870.372215637935,0.0,-3528.2261098035774,0.0,7398.598325441512,49.65620000000001,0.0,0.0,0.0,7443.288905441513,216.17676910499998,0.0,0.0,0.0,216.17676910499998,1,True
2025-02-01,8,2025-02-01 01:20:00,446.08,0.0,0.4302,464.605,0.0,464.605,495.7016666666667,21,941.7035272872085,941.7035272872085,0.0,0.0,7800.0,4271.773890196422,0.0,-3528.2261098035774,0.0,7443.288905441513,495.62352728720856,0.0,0.0,0.0,7889.35008,405.12085743895716,0.0,0.0,0.0,405.12085743895716,1,True
2025-02-01,9,2025-02-01 01:30:00,471.7663333333333,0.0,0.4279,494.2724,0.0,494.2724,512.5564333333334,21,1345.8897666666667,1345.8897666666667,0.0,0.0,8550.0,5021.773890196422,0.0,-3528.2261098035774,0.0,7889.35008,833.3333333333334,0.0,0.0,40.79010000000005,8639.35008,575.9062311566666,0.0,0.0,0.0,575.9062311566666,1,True
