date,q0_kwh,qA_kwh,down_kwh,up_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,retained_cost,down_cost,up_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,56001.39298564216,51141.8260490873,4859.566936554865,0.0,26617.360985952862,14789.117108306486,0.0,4935.406238107588,21270.152207594623,1196.0473414755968,0.0,0.0,22466.199549070217,2122.4825093090917,9645.755054103905
2025-02-02,86493.2370204409,81508.04816948564,4998.824454547945,13.635603592690813,15928.021068049155,18744.04656781333,0.0,5967.795719249817,58728.70872926891,2042.471888797595,27.5568730806485,0.0,60798.737491147156,9645.755054103905,3154.2556066666707
2025-02-03,93746.76255891062,87373.99882984476,6372.7637290658595,0.0,22733.52666006981,19111.10787917085,0.0,3534.6635489458026,62275.75493547551,2837.800231858482,0.0,0.0,65113.555167333994,3154.2556066666707,2379.8652905396657
2025-02-04,98132.35438040979,91928.808024832,6203.54635557779,0.0,23657.380939380204,19163.30430556151,0.0,6239.867441013302,65618.88146279343,2783.8312109358526,0.0,0.0,68402.71267372929,2379.8652905396657,2378.94779646906
2025-02-05,92267.928654141,89210.59635276381,3544.6962761179398,487.36397474074784,22890.104021505544,18193.037945214393,0.0,3765.1032931393215,62762.962118354124,1562.6446200677676,646.0710111334427,0.0,64971.67774955534,2378.94779646906,2765.554810030281
2025-02-06,97157.6562243682,88808.27823417044,8349.377990197756,0.0,25343.7133981059,20946.470342159697,5.096551549355809,4145.074513106934,63348.68109071932,3715.971091146038,0.0,35.7064401547868,67100.35862202014,2765.554810030281,2301.040932592593
2025-02-07,47030.16109706672,43270.096078634095,3760.0650184326223,0.0,19366.323441152257,16253.673171458782,0.0,8351.766142273951,18290.825919371095,848.4868529905948,0.0,0.0,19139.31277236169,2301.040932592593,1671.0951724532026
2025-02-08,46436.794212141554,46625.14402708727,5.112494591230643e-06,188.34982005820524,28130.298023826294,15529.263020007178,22.80291306001402,2469.7492196614994,18643.08854532513,8.90085308333255e-07,179.48507697193483,113.17085751684958,18935.744480703997,1671.0951724532026,9733.626704999999
2025-02-09,80962.07069711498,77836.78198426658,3125.2887128483953,0.0,13904.508104218366,18526.706990514318,0.0,2903.5649038958677,57606.622355360145,1400.7621625607533,0.0,0.0,59007.3845179209,9733.626704999999,1662.4540093361666
2025-02-10,87006.25706696355,81421.32764587612,5585.273926779349,0.34450569192597413,22046.19788013422,17226.72490048648,0.0,2275.2170828950507,55078.662653802116,2282.1958315861666,0.49608819637340273,0.0,57361.35457358466,1662.4540093361666,2363.226656471989
2025-02-11,85380.2818468085,80144.00168374267,5236.280163065841,0.0,22551.22959999681,18997.413144822207,288.49550584776824,1658.0836010824964,54632.68587370294,2352.2962335469615,0.0,1524.244894281902,58509.227001531806,2363.226656471989,1551.0964688888882
2025-02-12,87735.68748657129,82671.18705903759,5098.5485058670265,34.04807833333314,25582.52594458814,20124.782328289388,3.526941850353751,1950.2342512558653,55787.9297470669,2237.7373258656894,20.183700835999883,19.13013259631874,58064.98090636491,1551.0964688888882,2214.500565363335
2025-02-13,80601.2231209757,77488.60891474214,3349.8223330252818,237.2081267917245,23785.47657144491,19664.99129005821,834.8101396025994,2873.4547562913745,51689.60113420604,1407.6154515088704,352.0111517679235,4271.644203074026,57720.871940556855,2214.500565363335,1771.4391573768585
2025-02-14,37597.99976132875,37302.64203438391,435.86193243711534,140.50420549228124,20294.19387869377,16513.02678594774,0.0,3719.6731249712134,15730.831834399829,67.4701421696264,113.03977824015278,0.0,15911.341754809608,1771.4391573768585,1688.4061082593187
2025-02-15,40246.109789406844,37843.83352718317,2402.2762622236814,0.0,20248.88916003413,15429.24907145827,0.0,3744.1023386073034,16324.417603424321,525.5945855940073,0.0,0.0,16850.01218901833,1688.4061082593187,2768.7962728919592
