date,grid_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,planned_cost,emergency_cost,total_cost,soc_start_kwh,soc_end_kwh
2025-02-01,82859.69052934462,8058.847890593779,6443.083711904762,0.0,46865.75041732227,53578.18109031318,0.0,53578.18109031318,8481.289084047618,8575.270283465608
2025-02-02,82171.908707785,15154.026531834214,18062.717680952377,118.5713619047624,6842.893268807926,53112.59764933184,679.9336733202408,53792.53132265208,8575.270283465608,2144.207849947094
2025-02-03,87742.6500936842,22874.364276889268,18837.07832432793,30.500042857143626,3518.94768398001,55120.40650887221,132.20366550595563,55252.61017437816,2144.207849947094,1801.0486721164054
2025-02-04,87485.05578983859,24528.269575534283,19915.708176944674,220.7907093095223,1898.4211505584963,54838.95048589745,1101.1824608202073,55940.132946717655,1801.0486721164054,1747.9266490476193
2025-02-05,86680.48507598399,24249.255294479313,19751.103466766337,158.7090124285716,1592.6152773662513,54312.91889138985,757.7973849930717,55070.71627638292,1747.9266490476193,1626.5858954497382
2025-02-06,86823.61307310517,23815.184771708242,19325.505022059875,85.45314761904808,2148.3292544091782,54360.176633049894,514.6938583130985,54874.87049136299,1626.5858954497382,1587.468832142857
2025-02-07,86417.55521863462,16497.26269382716,7553.554059523809,0.0,45668.166917664596,54009.81016100981,0.0,54009.81016100981,1587.468832142857,8042.167412671957
2025-02-08,78218.92514945034,8391.707664814818,6810.784826190476,0.0,45060.83959415933,50289.60436188652,0.0,50289.60436188652,8042.167412671957,8027.165615238096
2025-02-09,77795.46751272112,16679.168703472045,19433.868480169498,233.65046804761738,1228.4017907995237,50004.182860827335,1009.2338269766057,51013.41668780395,8027.165615238096,1445.2302481746028
2025-02-10,85257.509920564,20920.976741715,17166.054481527237,85.58206190476142,7261.5321389476685,53179.23421276203,348.5566642607115,53527.790877022744,1445.2302481746028,1200.7154473544965
2025-02-11,84485.51855087581,22420.336702326076,17997.272972836498,194.90639819047908,5036.764086243387,52545.409797737506,930.4142914716859,53475.82408920919,1200.7154473544965,1382.04850962963
2025-02-12,83377.7770196303,22295.43976135442,18063.35325912565,300.6337904761916,4179.588174544385,51832.211774836214,1263.439957103577,53095.65173193979,1382.04850962963,1377.5517847089961
2025-02-13,82457.36041730718,20382.995704765028,16384.061204359678,190.35281428571614,7319.299714520881,51215.77273100114,512.6427624202494,51728.41549342139,1377.5517847089961,1517.7354697089954
2025-02-14,80490.66773065303,16256.256337948265,7085.92037857143,0.0,41518.529954609534,49851.842829483445,0.0,49851.842829483445,1517.7354697089954,8275.12130878307
2025-02-15,72685.98174014722,8650.836809876542,7373.870078571426,0.0,42128.92390884211,46347.67166013371,0.0,46347.67166013371,8275.12130878307,7867.685461481484
2025-02-16,72778.77631386736,15642.299892304449,18355.601784195176,1141.5462983571447,1256.2454041152314,46258.02232950323,5308.151203281887,51566.17353278511,7867.685461481484,1550.642271005294
2025-02-17,79072.44801401955,20774.00904967666,17006.546232047618,156.20156795237938,4277.323597676229,48790.64803869211,757.3098523155567,49547.95789100767,1550.642271005294,1351.0879356613787
2025-02-18,78870.66593496023,22352.772726898533,17875.336428502094,94.24216214285687,2396.084015373317,48535.532829265045,404.85276349321293,48940.38559275826,1351.0879356613787,1607.0984693121713
2025-02-19,77790.47801969764,22880.89247345679,18899.911525880958,985.5550934315387,1915.7247822200002,47855.26509036891,3871.0071227870594,51726.272213155964,1607.0984693121713,1200.0
2025-02-20,78179.09296676521,22751.961324540123,17999.107312448927,194.64748521428697,2627.752706554966,48024.34033885237,1032.4496688433744,49056.790007695745,1200.0,1677.757067142855
2025-02-21,77564.53302086124,16527.7825022633,7479.304224523743,0.0,42955.79270978836,47669.25600993228,0.0,47669.25600993228,1677.757067142855,8242.423291931216
2025-02-22,69666.3886726918,9518.189124280683,7895.678434834017,0.0,40199.11509991181,44107.56576793139,0.0,44107.56576793139,8242.423291931216,8035.817465079368
2025-02-23,69695.85512050416,15664.704271697996,18682.034928670615,220.171888190478,1401.5039823339193,44068.13539935632,960.78777007858,45028.9231694349,8035.817465079368,1376.2347221957693
2025-02-24,76869.45334250416,21386.20851932632,17266.120793106697,280.67185238095385,4827.003851998823,47030.12597851464,1209.4597687023877,48239.585747217025,1376.2347221957693,1439.2437305820104
2025-02-25,76316.17295566152,20619.486717529107,16617.66042857953,222.5993610952366,6715.622794473833,46693.66134156099,1017.8400668977338,47711.501408458724,1439.2437305820104,1532.7146334920658
2025-02-26,75061.09231564474,21952.225665910806,17751.396307197276,414.09576714285544,2459.510690740735,45869.63227426771,1623.2125717671502,47492.84484603485,1532.7146334920658,1565.9440581481454
2025-02-27,74029.9838785782,22570.16094251219,18041.25916205392,779.7635979999998,3324.2614961199292,45218.75765734567,3920.901683336427,49139.6593406821,1565.9440581481454,1833.2453930158747
2025-02-28,73059.24388475201,16596.464148660772,7660.780433867613,0.0,40830.96661995886,44730.334069388846,0.0,44730.334069388846,1833.2453930158747,8258.084866957674
2025-03-01,65547.68752281748,9159.328183215754,7519.2962285714275,0.0,40248.88963483982,41412.79209453402,0.0,41412.79209453402,8258.084866957674,8146.706644550268
2025-03-02,65059.122439395986,11776.500062777548,15542.166862659335,4587.908686119051,1054.3908587301507,41101.304193385455,24428.091182062188,65529.39537544764,8146.706644550268,1476.4824092063495
2025-03-03,72788.20229777193,20614.984792677886,16836.72476504528,3963.6746453809546,956.4702821869541,44476.95671783271,19727.399375284367,64204.35609311708,1476.4824092063495,1322.4967614550262
2025-03-04,74299.53810735625,22537.15581800176,18186.848793771896,436.14360676190665,1185.9167565549592,45460.11622945609,1803.2960041561967,47263.41223361229,1322.4967614550262,1398.3272267989403
2025-03-05,75132.83683945301,21331.204663359233,17203.355549773358,84.13127619047549,4958.646985390946,45968.15974319138,360.4591889761882,46328.61893216757,1398.3272267989403,1481.571924074075
2025-03-06,74571.36004536877,21253.62533966325,17018.592959579615,201.66995238095262,4597.343484332751,45607.76302415306,930.6092245297631,46538.37224868282,1481.571924074075,1700.2869969047656
2025-03-07,74176.02237428757,16322.518869547317,7122.271983333332,0.0,44053.489954740246,45358.32325179801,0.0,45358.32325179801,1700.2869969047656,8476.91844246032
2025-03-08,66294.36095265223,8787.4516982733,7250.764917196611,0.0,45694.53465490888,41955.73692229788,0.0,41955.73692229788,8476.91844246032,8329.219507354497
2025-03-09,65729.26769586236,13417.32670999412,16884.975916523807,91.6381133809522,5955.029965773007,41494.36791663328,544.1138492526198,42038.4817658859,8329.219507354497,1643.729194656084
