date,slot,interval_start,load_kwh,pv_kwh,price,price_forecast,forecast_load_kwh,forecast_pv_kwh,planning_net_kwh,residual_count,grid_kwh,plan_charge_kwh,plan_discharge_kwh,plan_soc_kwh,reserve_kwh,soc_start_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_end_kwh,planned_cost,emergency_cost,stage,stage_error_mean_kwh,ldr_delta_kwh,ldr_lambda,calibration_used,total_cost
2025-02-01,0,2025-02-01 00:00:00,422.0303666666667,0.0,0.4276,0.4276,454.32543333333336,0.0,467.9159666666667,21,1301.2493,833.3333333333334,0.0,3013.2065799206325,1200.0,2263.2065799206325,833.3333333333334,0.0,0.0,45.885599999999954,3013.2065799206325,556.4142006799999,0.0,1,0.0,-2313.857300804653,0.0,True,556.4142006799999
2025-02-01,1,2025-02-01 00:10:00,415.4073166666667,0.0,0.4248,0.4248,446.6726833333333,0.0,459.5054666666666,21,1292.8388,833.3333333333334,0.0,3763.2065799206325,1449.3492791159797,3013.2065799206325,833.3333333333334,0.0,0.0,44.09814999999992,3763.2065799206325,549.19792224,0.0,1,0.0,-2313.857300804653,0.0,True,549.19792224
2025-02-01,2,2025-02-01 00:20:00,410.7166666666667,0.0,0.4245,0.4245,443.3066666666667,0.0,456.8549999999999,21,1290.1883333333333,833.3333333333334,0.0,4513.206579920632,2199.3492791159792,3763.2065799206325,833.3333333333334,0.0,0.0,46.13833333333321,4513.206579920632,547.6849474999999,0.0,1,0.0,-2313.857300804653,0.0,True,547.6849474999999
2025-02-01,3,2025-02-01 00:30:00,430.29479999999995,0.0,0.4269,0.4269,476.9869166666667,0.0,497.2713166666666,21,1330.60465,833.3333333333334,0.0,5263.206579920632,2949.3492791159792,4513.206579920632,833.3333333333334,0.0,0.0,66.97651666666673,5263.206579920632,568.035125085,0.0,1,0.0,-2313.857300804653,0.0,True,568.035125085
2025-02-01,4,2025-02-01 00:40:00,424.4105833333333,0.0,0.4272,0.4272,484.26815000000005,0.0,508.0373666666667,21,1341.3707,833.3333333333334,0.0,6013.206579920632,3699.3492791159792,5263.206579920632,833.3333333333334,0.0,0.0,83.62678333333326,6013.206579920632,573.03356304,0.0,1,0.0,-2313.857300804653,0.0,True,573.03356304
2025-02-01,5,2025-02-01 00:50:00,406.0516666666667,0.0,0.4271,0.4271,468.2083333333333,0.0,502.2883333333332,21,1335.6216666666664,833.3333333333334,0.0,6763.206579920632,4449.349279115979,6013.206579920632,833.3333333333334,0.0,0.0,96.23666666666634,6763.206579920632,570.4440138333332,0.0,1,0.0,-2313.857300804653,0.0,True,570.4440138333332
2025-02-01,6,2025-02-01 01:00:00,436.7501833333333,0.0,0.4285,0.4285,490.43896666666666,0.0,512.8706500000001,21,1346.2039833333333,833.3333333333334,0.0,7513.206579920632,5199.349279115979,6763.206579920632,833.3333333333334,0.0,0.0,76.12046666666663,7513.206579920632,576.8484068583333,0.0,1,0.0,-2313.857300804653,0.0,True,576.8484068583333
2025-02-01,7,2025-02-01 01:10:00,451.7976833333333,0.0,0.4311,0.4311,487.2113166666666,0.0,501.45388333333335,21,501.45388333333335,0.0,0.0,7513.206579920632,5199.349279115979,7513.206579920632,49.65620000000007,0.0,0.0,0.0,7557.8971599206325,216.176769105,0.0,1,0.0,-2313.857300804653,0.0,True,216.176769105
2025-02-01,8,2025-02-01 01:20:00,446.08,0.0,0.4302,0.4302,464.605,0.0,495.7016666666668,21,814.361022310409,318.6593556437421,0.0,7800.0,5486.142699195347,7557.8971599206325,368.281022310409,0.0,0.0,0.0,7889.35008,350.338111797938,0.0,1,0.0,-2313.857300804653,0.0,True,350.338111797938
2025-02-01,9,2025-02-01 01:30:00,471.7663333333333,0.0,0.4279,0.4279,494.2724,0.0,512.5564333333334,21,1345.8897666666667,833.3333333333334,0.0,8550.0,6236.142699195347,7889.35008,833.3333333333334,0.0,0.0,40.79010000000005,8639.35008,575.9062311566666,0.0,1,0.0,-2313.857300804653,0.0,True,575.9062311566666
2025-02-01,10,2025-02-01 01:40:00,448.02596666666665,0.0,0.4312,0.4312,505.68945,0.0,518.1743833333333,21,518.1743833333333,0.0,0.0,8550.0,6236.142699195347,8639.35008,70.1484166666666,0.0,0.0,0.0,8702.483655,223.4367940933333,0.0,1,0.0,-2313.857300804653,0.0,True,223.4367940933333
2025-02-01,11,2025-02-01 01:50:00,397.40333333333336,0.0,0.4333,0.4333,487.83666666666664,0.0,529.9499999999999,21,529.9499999999999,0.0,0.0,8550.0,6236.142699195347,8702.483655,132.54666666666657,0.0,0.0,0.0,8821.775655,229.627335,0.0,1,0.0,-2313.857300804653,0.0,True,229.627335
2025-02-01,12,2025-02-01 02:00:00,434.0906333333333,0.0,0.4311,0.4311,501.9057666666667,0.0,519.2617166666666,21,519.2617166666666,0.0,0.0,8550.0,6236.142699195347,8821.775655,85.17108333333334,0.0,0.0,0.0,8898.429629999999,223.85372605499998,0.0,1,0.0,-2313.857300804653,0.0,True,223.85372605499998
2025-02-01,13,2025-02-01 02:10:00,490.5609166666666,0.0,0.4293,0.4293,514.9269333333333,0.0,544.1799666666666,21,1377.5133,833.3333333333334,0.0,9300.0,6986.142699195347,8898.429629999999,833.3333333333334,0.0,0.0,53.61905000000013,9648.429629999999,591.36645969,0.0,1,0.0,-2313.857300804653,0.0,True,591.36645969
2025-02-01,14,2025-02-01 02:20:00,503.22,0.0,0.4324,0.4324,507.54333333333335,0.0,526.9916666666667,21,526.9916666666667,0.0,0.0,9300.0,6986.142699195347,9648.429629999999,23.771666666666647,0.0,0.0,0.0,9669.824129999999,227.87119666666666,0.0,1,0.0,-2313.857300804653,0.0,True,227.87119666666666
