date,block,charge_kwh,discharge_kwh,time,soc_kwh
2025-03-20,0:00-4:00,8451.746265520287,109.31457619047649,0:00,1747.7063174603134
2025-03-20,4:00-8:00,1821.9035166666663,5502.357037171838,24:00,1600.69858989418
2025-03-20,8:00-12:00,5611.144635714286,2777.3772166666668,,
2025-03-20,12:00-16:00,5067.650142981112,547.0751142857151,,
2025-03-20,16:00-20:00,161.08890714285747,5147.348878169548,,
2025-03-20,20:00-24:00,510.5747023809524,3564.3617503542578,,
2025-06-21,0:00-4:00,1961.2784693709586,0.0,0:00,9034.849377566135
2025-06-21,4:00-8:00,1167.285621428567,1074.42905,24:00,9220.242332989419
2025-06-21,8:00-12:00,159.16999585538076,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,0.0,3082.1415595238095,,
2025-06-21,20:00-24:00,4614.939350000001,2077.741214285715,,
2025-09-23,0:00-4:00,9119.694447619047,24.505000000000223,0:00,1267.2168214285716
2025-09-23,4:00-8:00,1551.314281069967,6292.100284689159,24:00,1457.8053405555563
2025-09-23,8:00-12:00,5098.8741060536395,1896.6157166666667,,
2025-09-23,12:00-16:00,5409.042447589644,506.2391277016802,,
2025-09-23,16:00-20:00,95.74286904762005,4986.797267809525,,
2025-09-23,20:00-24:00,385.10388809523886,3666.6282878935544,,
2025-12-21,0:00-4:00,2785.365447824807,0.0,0:00,8169.954169100531
2025-12-21,4:00-8:00,953.0144818636086,661.0464952380956,24:00,1631.930208121691
2025-12-21,8:00-12:00,5031.1430190476185,7948.909940476192,,
2025-12-21,12:00-16:00,7756.197982786185,2408.8362710091897,,
2025-12-21,16:00-20:00,0.0,5031.622166666669,,
2025-12-21,20:00-24:00,441.5269214285704,3577.2774523809526,,
