date,block,charge_kwh,discharge_kwh,time,soc_kwh
2025-03-20,0:00-4:00,8441.578226131693,48.85016078571327,0:00,1756.8575529100488
2025-03-20,4:00-8:00,1821.9035166666663,5483.416949338441,24:00,1678.1009861111122
2025-03-20,8:00-12:00,5611.144635714286,2777.3772166666668,,
2025-03-20,12:00-16:00,4969.6198920698,435.3669500000001,,
2025-03-20,16:00-20:00,0.0,4930.26621190476,,
2025-03-20,20:00-24:00,510.5747023809524,3693.008409523812,,
2025-06-21,0:00-4:00,1961.2784693709586,0.0,0:00,9034.849377566135
2025-06-21,4:00-8:00,1167.285621428567,1074.42905,24:00,9220.242332989419
2025-06-21,8:00-12:00,159.16999585538076,0.0,,
2025-06-21,12:00-16:00,0.0,0.0,,
2025-06-21,16:00-20:00,0.0,3082.1415595238095,,
2025-06-21,20:00-24:00,4614.939350000001,2077.741214285715,,
2025-09-23,0:00-4:00,9119.694447619047,18.35928571428576,0:00,1267.2168214285716
2025-09-23,4:00-8:00,1543.7269794826643,6249.609998974874,24:00,1457.8053405555563
2025-09-23,8:00-12:00,5098.8741060536395,1896.6157166666667,,
2025-09-23,12:00-16:00,5261.644452351551,285.30152619047476,,
2025-09-23,16:00-20:00,0.0,4805.2227,,
2025-09-23,20:00-24:00,385.10388809523886,3914.686642857144,,
2025-12-21,0:00-4:00,2785.365447824807,81.67465000000004,0:00,8169.954169100531
2025-12-21,4:00-8:00,1053.8473830981761,661.0464952380956,24:00,1756.4947028306879
2025-12-21,8:00-12:00,5031.1430190476185,7948.909940476192,,
2025-12-21,12:00-16:00,7756.197982786185,2408.8362710091897,,
2025-12-21,16:00-20:00,0.0,4929.230221428571,,
2025-12-21,20:00-24:00,441.5269214285704,3567.561352380952,,
