date,grid_step_kwh,emergency_cost,final_soc_kwh
2025-03-20,25.0,1659.0611702860085,1626.9806535978828
2025-03-20,12.5,1659.0611702860085,1626.9806535978828
2025-03-20,5.0,1659.0611702860085,1626.9806535978828
2025-06-21,25.0,0.0,10800.0
2025-06-21,12.5,0.0,10800.0
2025-06-21,5.0,0.0,10800.0
2025-09-23,25.0,2742.310894280209,1565.193852233856
2025-09-23,12.5,2742.310894280209,1565.193852233856
2025-09-23,5.0,2742.310894280209,1565.193852233856
2025-12-21,25.0,0.0,1775.140013605024
2025-12-21,12.5,0.0,1775.140013605024
2025-12-21,5.0,0.0,1775.140013605024
