date,same_plan_initial_soc_kwh,planned_cost,ldr_emergency_cost,beta1_emergency_cost,beta0_emergency_cost,ldr_total_cost,beta1_total_cost,beta0_total_cost,ldr_final_soc_kwh,beta1_final_soc_kwh,beta0_final_soc_kwh
2025-01-02,6000.0,71012.97361598053,9742.260166039516,9742.260166039516,9274.264946501331,80755.23378202005,80755.23378202005,80287.23856248186,1365.1683916666666,1365.1683916666666,1365.1683916666666
2025-01-03,1365.1683916666666,57642.25717075377,0.0,0.0,0.0,57642.25717075377,57642.25717075377,57642.25717075377,7928.118779814818,7928.118779814818,7928.118779814818
2025-01-04,7928.118779814818,20564.59042102546,3564.10495385608,3564.10495385608,2840.821546211597,24128.69537488154,24128.69537488154,23405.411967237058,1200.0,1200.0,1200.0
2025-01-05,1200.0,30816.396563085385,244445.9896481392,244445.9896481392,262212.4831452587,275262.3862112246,275262.3862112246,293028.87970834406,1200.0,1200.0,1200.0
2025-01-06,1200.0,73614.1131106291,6525.171700464847,6525.171700464847,5167.561855261673,80139.28481109395,80139.28481109395,78781.67496589078,1315.5818699999998,1315.5818699999998,1315.5818699999998
2025-01-07,1315.5818699999998,72626.82845079698,15087.526714962574,15087.526714962574,15325.686805651976,87714.35516575955,87714.35516575955,87952.51525644895,1453.073751851853,1453.073751851853,1230.899677777778
2025-01-08,1453.073751851853,72513.12176687349,2869.377254172796,2869.377254172796,3282.6558275923435,75382.49902104629,75382.49902104629,75795.77759446584,1539.2498677777792,1539.2498677777792,1533.5991825925946
2025-01-09,1539.2498677777792,74580.9593993777,669.6593918511917,669.6593918511917,0.0,75250.61879122889,75250.61879122889,74580.9593993777,1714.080101851853,1714.080101851853,1687.302861111112
2025-01-10,1714.080101851853,23530.46399410918,1572.8192697742859,1572.8192697742859,0.0,25103.283263883466,25103.283263883466,23530.46399410918,1585.1024699051225,1585.1024699051225,1460.5010953019473
2025-01-11,1585.1024699051225,24194.042626174094,598.0500992685659,598.0500992685659,0.0,24792.09272544266,24792.09272544266,24194.042626174094,1736.872635010583,1736.872635010583,1711.7140873915346
2025-01-12,1736.872635010583,75624.61994114178,684.85143341857,684.85143341857,0.0,76309.47137456035,76309.47137456035,75624.61994114178,1773.3279790740742,1773.3279790740742,1739.056501296296
2025-01-13,1773.3279790740742,74018.52404093803,1277.308917028323,1277.308917028323,0.0,75295.83295796636,75295.83295796636,74018.52404093803,1332.9067028148158,1332.9067028148158,1285.7107361481496
2025-01-14,1332.9067028148158,73685.9484801841,1199.6759802441666,1199.6759802441666,0.0,74885.62446042827,74885.62446042827,73685.9484801841,1324.0570981481492,1324.0570981481492,1324.0570981481492
2025-01-15,1324.0570981481492,73355.99133802805,4212.767101521436,4212.767101521436,936.7368779980822,77568.75843954948,77568.75843954948,74292.72821602612,1451.6706355451518,1451.6706355451518,1451.6706355451518
2025-01-16,1451.6706355451518,73516.06933341859,3439.522413924546,3439.522413924546,1089.8846953083316,76955.59174734313,76955.59174734313,74605.95402872692,1725.6325397037037,1725.6325397037037,1725.6325397037037
2025-01-17,1725.6325397037037,23776.13894707217,294.23013750167024,294.23013750167024,0.0,24070.36908457384,24070.36908457384,23776.13894707217,1763.8967797724877,1763.8967797724877,1729.2744131058214
2025-01-18,1763.8967797724877,23859.86904014052,800.0560564423748,800.0560564423748,0.0,24659.925096582894,24659.925096582894,23859.86904014052,1968.8171069523814,1968.8171069523814,1909.658900359791
2025-01-19,1968.8171069523814,72318.75792946547,2334.611019132527,2334.611019132527,0.0,74653.368948598,74653.368948598,72318.75792946547,1808.556613333332,1808.556613333332,1808.556613333332
