calibrations,residual_count,initial_soc_kwh,final_soc_kwh,calibration_seconds,day_seconds
"[{'theta': array([-3528.2261098]), 'n_active': 1, 'beta1_train': -4008.981338175454, 'beta0_train': -4037.143703453317, 'beta1_val': -4054.261593004115, 'beta0_val': -4054.261593004115, 'selected_score': -4037.143703453317, 'evaluations': 20, 'seconds': 0.043760000000474975, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-9093.82914998,     0.        , -4371.66203131,     0.        ,
       -6427.22775944,     0.        ]), 'n_active': 3, 'beta1_train': -879.0877496411747, 'beta0_train': -3631.301936937507, 'beta1_val': -600.2240168778708, 'beta0_val': -3656.284192995463, 'selected_score': -3631.301936937507, 'evaluations': 140, 'seconds': 0.2485445000056643, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",24,2122.4825093090917,9645.736535166057,0.2923045000061393,0.4257988000026671
"[{'theta': array([-1917.12119212]), 'n_active': 1, 'beta1_train': -4427.319363845117, 'beta0_train': -4643.508429694352, 'beta1_val': -4645.2, 'beta0_val': -4645.2, 'selected_score': -4643.508429694352, 'evaluations': 15, 'seconds': 0.045252100011566654, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4456.48219681,     0.        , -9087.39782181,     0.        ,
        -398.87075866,     0.        ]), 'n_active': 3, 'beta1_train': 271.06077966213087, 'beta0_train': -828.7488148803295, 'beta1_val': -677.3254762416049, 'beta0_val': -1229.1599143595681, 'selected_score': -832.9664714942546, 'evaluations': 140, 'seconds': 0.27223840000806376, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",25,9645.736535166057,3023.860051111114,0.3174905000196304,0.4581401999894297
"[{'theta': array([-6318.39664348]), 'n_active': 1, 'beta1_train': -3681.6758786833234, 'beta0_train': -3863.251696704948, 'beta1_val': -3873.155861666667, 'beta0_val': -3913.2000000000003, 'selected_score': -3863.251696704948, 'evaluations': 20, 'seconds': 0.052125099988188595, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([ -248.88055914,     0.        ,  -545.44886927,     0.        ,
       -4109.60275569,     0.        ]), 'n_active': 3, 'beta1_train': 545.4979990619892, 'beta0_train': -431.77300095053704, 'beta1_val': -806.1312322721609, 'beta0_val': -853.3551947721604, 'selected_score': -443.8439413334532, 'evaluations': 140, 'seconds': 0.31564200000138953, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",26,3023.860051111114,2328.369625185186,0.36776709998957813,0.5126517999888165
"[{'theta': array([-7498.38649487]), 'n_active': 1, 'beta1_train': -4399.148988762295, 'beta0_train': -4425.578828893637, 'beta1_val': -4426.799999999999, 'beta0_val': -4426.799999999999, 'selected_score': -4425.578828893637, 'evaluations': 15, 'seconds': 0.05834370000229683, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-9020.21386504,     0.        , -7831.72311139,     0.        ,
        -217.1562373 ,     0.        ]), 'n_active': 3, 'beta1_train': 443.36541522894936, 'beta0_train': -349.78841012405917, 'beta1_val': -921.0218424932019, 'beta0_val': -942.397053845727, 'selected_score': -355.3114390203454, 'evaluations': 140, 'seconds': 0.33280040000681765, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",27,2328.369625185186,2270.814585064419,0.3911441000091145,0.5600360999960685
"[{'theta': array([-8034.15497142]), 'n_active': 1, 'beta1_train': -4364.95121647454, 'beta0_train': -4396.831707933242, 'beta1_val': -4398.0, 'beta0_val': -4398.0, 'selected_score': -4396.831707933242, 'evaluations': 20, 'seconds': 0.068949699998484, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-7067.06996093,     0.        ,  -572.62040524,     0.        ,
       -3961.4560568 ,     0.        ]), 'n_active': 3, 'beta1_train': -163.4452079562155, 'beta0_train': -634.1545985423646, 'beta1_val': -1231.079931999588, 'beta0_val': -1231.079931999588, 'selected_score': -644.7925170806266, 'evaluations': 140, 'seconds': 0.3439881000085734, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",28,2270.814585064419,2844.166824444443,0.4129378000070574,0.6038866000017151
"[{'theta': array([-9202.45149599]), 'n_active': 1, 'beta1_train': -2025.0200850587603, 'beta0_train': -2852.7751438152995, 'beta1_val': -2512.815316734009, 'beta0_val': -2918.3999999999996, 'selected_score': -2852.7751438152995, 'evaluations': 20, 'seconds': 0.05875989999913145, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4284.2049007 ,     0.        ,  -566.19346428,     0.        ,
        -426.90280676,     0.        ]), 'n_active': 3, 'beta1_train': 337.8152548423669, 'beta0_train': -181.5122123401803, 'beta1_val': -265.6487787690892, 'beta0_val': -399.08004017134203, 'selected_score': -194.64368972090315, 'evaluations': 140, 'seconds': 0.42378260000259615, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",29,2844.166824444443,2269.6233770370372,0.4825425000017276,0.6568757999921218
"[{'theta': array([-4952.48730465]), 'n_active': 1, 'beta1_train': -2976.139769092208, 'beta0_train': -3042.3196311036877, 'beta1_val': -3044.3999999999996, 'beta0_val': -3044.3999999999996, 'selected_score': -3042.3196311036877, 'evaluations': 20, 'seconds': 0.08949670000583865, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-1284.80872947,     0.        ,  -656.4441327 ,     0.        ,
       -9571.19229886,     0.        ]), 'n_active': 3, 'beta1_train': 2447.7393934613033, 'beta0_train': -359.3373146359772, 'beta1_val': 1549.212962084935, 'beta0_val': -645.2847934058526, 'selected_score': -364.09328985813636, 'evaluations': 140, 'seconds': 0.41963650000980124, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",30,2269.6233770370372,1687.5950149486405,0.5091332000156399,0.7274384999909671
"[{'theta': array([-6080.38763995]), 'n_active': 1, 'beta1_train': -3358.7269411084862, 'beta0_train': -3391.737353518402, 'beta1_val': -3652.2019403808094, 'beta0_val': -3652.2019403808094, 'selected_score': -3391.737353518402, 'evaluations': 50, 'seconds': 0.1229345000028843, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}, {'theta': array([-6653.47672101,     0.        ,  -465.46095744,     0.        ,
       -3452.1051012 ,     0.        ]), 'n_active': 3, 'beta1_train': -1491.7846136722476, 'beta0_train': -4035.2708795590233, 'beta1_val': -2327.352326015228, 'beta0_val': -4096.646503374835, 'selected_score': -4035.828288361018, 'evaluations': 140, 'seconds': 0.33510080000269227, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",31,1687.5950149486405,9765.162940333808,0.4580353000055766,0.6395734000107041
"[{'theta': array([-8291.05388486]), 'n_active': 1, 'beta1_train': -4341.314841356132, 'beta0_train': -4444.081109013645, 'beta1_val': -4450.8, 'beta0_val': -4450.8, 'selected_score': -4444.081109013645, 'evaluations': 15, 'seconds': 0.048430099996039644, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-3707.37824976,     0.        ,  -524.20596431,     0.        ,
       -8775.22818635,     0.        ]), 'n_active': 3, 'beta1_train': 414.5919989130609, 'beta0_train': -301.59785923602345, 'beta1_val': -657.864321996563, 'beta0_val': -754.4807017756114, 'selected_score': -345.3280363951876, 'evaluations': 140, 'seconds': 0.38944279999122955, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",32,9765.162940333808,1666.2277016723583,0.4378728999872692,0.6300849999970524
"[{'theta': array([-1448.04256854]), 'n_active': 1, 'beta1_train': -4476.140684510492, 'beta0_train': -4564.953514270467, 'beta1_val': -4572.0, 'beta0_val': -4572.0, 'selected_score': -4564.953514270467, 'evaluations': 25, 'seconds': 0.06885520000651013, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Optimization terminated successfully.'}, {'theta': array([-4665.36047942,     0.        ,  -560.95582292,     0.        ,
       -3517.2828142 ,     0.        ]), 'n_active': 3, 'beta1_train': -562.0684978748195, 'beta0_train': -925.1679103232289, 'beta1_val': -673.2721394409416, 'beta0_val': -1004.3289830556573, 'selected_score': -935.7232258798896, 'evaluations': 140, 'seconds': 0.3411938000062946, 'method': 'differential_evolution_v2', 'accepted_search': True, 'solver_message': 'Maximum number of iterations has been exceeded.'}]",33,1666.2277016723583,2143.5632656200846,0.41004900001280475,0.5789462999964599
