date,interval,emergency_kwh
2025-02-01,无,0.0
2025-02-02,无,0.0
2025-02-03,无,0.0
2025-02-04,无,0.0
2025-02-05,无,0.0
2025-02-06,08:00-08:10,5.096551549355809
2025-02-07,20:50-21:00,28.215550000001315
2025-02-08,20:50-21:00,206.2743503491804
2025-02-09,无,0.0
2025-02-10,无,0.0
2025-02-11,06:00-06:20,24.52005599840311
2025-02-11,06:30-06:40,39.57904999999994
2025-02-11,20:40-20:50,95.99918350000178
2025-02-11,21:20-21:40,26.859010166666575
2025-02-12,06:10-06:30,29.213803397093898
2025-02-12,20:40-20:50,87.54118335735996
2025-02-12,21:30-21:50,9.856333500000073
2025-02-13,06:20-06:40,66.77974334394264
2025-02-13,20:50-21:00,9.10595801263255
2025-02-14,无,0.0
2025-02-15,20:50-21:20,144.2801234329762
2025-02-15,21:40-21:50,8.0173048879073
2025-02-15,23:00-23:20,23.387686166666708
2025-02-16,06:00-06:10,5.8715588721127006
2025-02-16,06:20-06:40,21.896866666666483
2025-02-16,10:30-10:50,225.51335414584653
2025-02-16,20:40-20:50,387.71182086154926
2025-02-17,06:00-06:10,9.568923380800243
2025-02-17,06:30-06:40,4.2917999999999665
2025-02-17,18:10-18:20,30.990113647339218
2025-02-17,19:00-19:30,105.2934493333297
2025-02-17,20:20-20:30,9.775633333333644
2025-02-17,20:40-20:50,153.66198561553915
2025-02-18,06:20-06:30,1.7280303696929877
2025-02-18,20:40-20:50,269.9572067461456
2025-02-19,06:10-06:30,75.83324123291902
2025-02-20,06:00-06:20,82.86095577344292
2025-02-21,无,0.0
2025-02-22,无,0.0
2025-02-23,06:00-06:20,9.286832546949654
2025-02-23,20:40-20:50,27.477933333332203
2025-02-24,06:00-06:20,46.37015137028061
2025-02-25,06:00-06:30,45.24017149754559
2025-02-25,19:30-19:40,5.049018461868513
2025-02-26,无,0.0
2025-02-27,06:00-06:20,24.392650000000117
2025-02-27,10:10-10:20,16.856671405340855
2025-02-28,21:40-21:50,50.832302221205225
2025-03-01,21:00-21:20,16.209833333334437
2025-03-02,无,0.0
2025-03-03,无,0.0
2025-03-04,无,0.0
2025-03-05,20:40-20:50,96.56899999999871
2025-03-06,无,0.0
2025-03-07,无,0.0
2025-03-08,无,0.0
2025-03-09,20:40-20:50,10.794100000000185
2025-03-10,09:40-10:20,286.32963947925305
2025-03-11,无,0.0
2025-03-12,无,0.0
2025-03-13,20:40-20:50,81.23891666666395
2025-03-14,无,0.0
2025-03-15,无,0.0
2025-03-16,无,0.0
2025-03-17,无,0.0
2025-03-18,无,0.0
2025-03-19,无,0.0
2025-03-20,09:00-10:00,377.88618790191947
2025-03-21,20:50-21:00,83.15843333333277
2025-03-21,22:20-22:30,14.505867887747218
2025-03-22,无,0.0
2025-03-23,20:40-20:50,165.2725294306763
2025-03-24,无,0.0
2025-03-25,10:20-10:40,60.218542667518
2025-03-25,20:20-20:30,2.467714579364724
2025-03-25,20:40-20:50,77.1453687539688
2025-03-25,21:00-21:30,80.22898333333293
2025-03-26,20:40-20:50,45.93840000000023
2025-03-27,无,0.0
2025-03-28,无,0.0
2025-03-29,20:50-21:10,195.56796622476674
2025-03-30,无,0.0
2025-03-31,20:40-21:00,72.45128676571449
2025-04-01,20:40-20:50,4.191798455326989
2025-04-02,20:40-20:50,58.551527415359715
2025-04-03,无,0.0
2025-04-04,无,0.0
2025-04-05,20:50-21:00,106.1107993754078
2025-04-06,无,0.0
2025-04-07,无,0.0
2025-04-08,21:10-21:20,8.42625742184714
2025-04-09,无,0.0
2025-04-10,无,0.0
2025-04-11,21:40-21:50,75.01532150402679
2025-04-11,22:10-22:40,34.23790000000024
2025-04-12,无,0.0
2025-04-13,无,0.0
2025-04-14,20:40-20:50,171.28510707563566
2025-04-15,20:40-20:50,199.67582436243822
2025-04-16,无,0.0
2025-04-17,20:40-20:50,41.957429107519715
2025-04-18,无,0.0
2025-04-19,无,0.0
2025-04-20,无,0.0
2025-04-21,无,0.0
2025-04-22,无,0.0
2025-04-23,无,0.0
2025-04-24,无,0.0
2025-04-25,21:40-21:50,4.819676522845327
2025-04-26,无,0.0
2025-04-27,16:50-17:30,136.08579792731265
2025-04-27,20:40-20:50,178.44000449926693
2025-04-28,无,0.0
2025-04-29,20:40-20:50,1.9677584517003197
2025-04-30,20:40-21:10,93.01988333333338
2025-05-01,20:30-21:30,1496.3063772540409
2025-05-01,21:50-23:50,613.0726863333338
2025-05-02,16:30-16:50,66.4912073206227
2025-05-02,17:50-18:00,17.125833513006683
2025-05-02,20:40-21:20,1010.6209831536603
2025-05-02,21:30-22:40,448.46631717383985
2025-05-02,23:00-23:20,28.157476666666366
2025-05-02,23:40-24:00,58.205266333333235
2025-05-03,00:00-00:10,1.588833333333298
2025-05-03,17:20-17:40,66.74134037931827
2025-05-03,17:50-18:00,8.567471521318566
2025-05-03,19:40-22:30,1551.6665644196087
2025-05-03,23:20-23:30,30.339284166666403
2025-05-04,18:00-18:10,0.6816115111523686
2025-05-04,18:30-22:50,1849.7448605334762
2025-05-04,23:20-23:50,59.473865499999945
2025-05-05,18:00-20:50,1215.8200722353918
2025-05-05,21:00-21:30,105.62499999999986
2025-05-05,22:00-22:50,72.16941316666673
2025-05-05,23:00-23:50,173.0302499999995
2025-05-06,08:30-08:40,39.4667095923343
2025-05-06,09:00-09:50,227.60425713228324
2025-05-06,16:30-18:00,537.6255504492369
2025-05-06,18:10-20:10,614.8666412092186
2025-05-06,20:20-21:00,202.22668333333286
2025-05-06,21:10-23:30,622.8604650000005
2025-05-06,23:50-24:00,0.0845886666666722
2025-05-07,19:10-20:50,593.1769840797988
2025-05-07,21:20-22:10,134.99732416666703
2025-05-07,22:20-23:20,144.93066333333314
2025-05-08,20:00-20:20,82.43748333333326
2025-05-09,16:50-17:20,90.76045994281559
2025-05-10,16:30-16:50,58.3164683963188
2025-05-11,19:10-19:30,41.18071666666651
2025-05-12,无,0.0
2025-05-13,无,0.0
2025-05-14,无,0.0
2025-05-15,无,0.0
2025-05-16,无,0.0
2025-05-17,无,0.0
2025-05-18,无,0.0
2025-05-19,20:10-20:20,12.233166666666648
2025-05-20,无,0.0
2025-05-21,无,0.0
2025-05-22,20:20-20:30,2.5699999999999363
2025-05-23,无,0.0
2025-05-24,无,0.0
2025-05-25,20:40-20:50,12.048766666666552
2025-05-26,无,0.0
2025-05-27,无,0.0
2025-05-28,无,0.0
2025-05-29,19:10-19:20,17.817433333333383
2025-05-29,20:40-20:50,145.6739999999994
2025-05-29,21:30-21:40,32.239510333333556
2025-05-30,无,0.0
2025-05-31,无,0.0
2025-06-01,01:10-01:20,33.10355000000004
