date,strategy,initial_soc_kwh,final_soc_kwh,residual_count,q0_cost_face,settlement_cost,retained_cost,down_cost,up_cost,emergency_cost,total_cost,down_kwh,up_kwh,calibration_count,calibration_seconds,day_seconds,cal_0_update_slot,cal_0_method,cal_0_accepted_search,cal_0_evaluations,cal_0_selected_score,cal_0_nit,cal_0_success,cal_0_termination
2025-02-01,M0,2148.5983254415123,2675.0626755555586,21,25122.92052040696,25122.92052040696,25122.92052040696,0.0,0.0,0.0,25122.92052040696,0.0,0.0,1,0.6797194000100717,0.8479006999987178,0,differential_evolution_bounded_direct_search,True,316,-701.8833669223911,,,
2025-02-02,M0,2675.0626755555586,2492.2249205555586,21,58916.99342319668,58916.993423196676,58916.993423196676,0.0,0.0,0.0,58916.993423196676,0.0,0.0,1,0.4065857999958098,0.5293639000010444,0,differential_evolution_bounded_direct_search,True,316,-335.9248169057834,,,
2025-02-03,M0,2492.2249205555586,2455.9810112962955,21,60197.56590312689,60197.56590312689,60197.56590312689,0.0,0.0,0.0,60197.56590312689,0.0,0.0,1,0.36901579999539535,0.4501572000008309,0,differential_evolution_bounded_direct_search,True,316,-363.4049166808051,,,
2025-02-04,M0,2455.9810112962955,2384.5401855555538,21,62681.18109442317,62681.18109442318,62681.18109442318,0.0,0.0,0.0,62681.18109442318,0.0,0.0,1,0.3569036999979289,0.4365362000098685,0,differential_evolution_bounded_direct_search,True,316,-282.87380955939346,,,
2025-02-05,M0,2384.5401855555538,2162.128652962963,21,58143.485230372855,58143.48523037286,58143.48523037286,0.0,0.0,0.0,58143.48523037286,0.0,0.0,1,1.060508700000355,1.455147600005148,0,differential_evolution_bounded_direct_search,True,316,-304.1434731356326,,,
2025-02-06,M0,2162.128652962963,2200.8528837037047,21,62538.77743762014,62538.77743762014,62538.77743762014,0.0,0.0,0.0,62538.77743762014,0.0,0.0,1,1.34187020000536,1.6341638000012608,0,differential_evolution_bounded_direct_search,True,316,-372.7214528586404,,,
2025-02-07,M0,2200.8528837037047,1896.414048518516,21,24716.38806127337,24716.38806127337,24716.38806127337,0.0,0.0,0.0,24716.38806127337,0.0,0.0,1,0.8042778000090038,1.1694690000003902,0,differential_evolution_bounded_direct_search,True,316,-663.1571913495909,,,
2025-02-08,M0,1896.414048518516,1649.1427701851856,21,19359.16750467295,19359.16750467295,19359.16750467295,0.0,0.0,923.7728159332634,20282.940320606212,0.0,0.0,1,0.7736291000037454,1.1206655999994837,0,differential_evolution_bounded_direct_search,True,316,-804.662281140734,,,
2025-02-09,M0,1649.1427701851856,1509.2359772222212,21,56857.035336288434,56857.035336288434,56857.035336288434,0.0,0.0,0.0,56857.035336288434,0.0,0.0,1,0.8617616999981692,1.1263543000095524,0,differential_evolution_bounded_direct_search,True,316,-225.1889709204765,,,
2025-02-10,M0,1509.2359772222212,1517.3820800000024,21,54212.32123777555,54212.321237775555,54212.321237775555,0.0,0.0,0.0,54212.321237775555,0.0,0.0,1,0.9585279000020819,1.304675599996699,0,differential_evolution_bounded_direct_search,True,316,-115.97994474793548,,,
