date,emergency_cost,soc_end_kwh,original_emergency_cost,original_minus_beta0_emergency_cost
2025-02-01,0.0,8575.270283465608,0.0,0.0
2025-02-02,0.0,2038.8419531216973,679.9336733202408,679.9336733202408
2025-02-03,0.0,1801.0486721164054,132.20366550595563,132.20366550595563
2025-02-04,0.0,1589.0199565608518,1101.1824608202073,1101.1824608202073
2025-02-05,0.0,1600.1104060317487,757.7973849930717,757.7973849930717
2025-02-06,122.28557603333329,1530.5122845238097,514.6938583130985,392.4082822797652
2025-02-07,0.0,8042.167412671957,0.0,0.0
2025-02-08,0.0,8027.165615238096,0.0,0.0
2025-02-09,0.0,1436.5685285978852,1009.2338269766057,1009.2338269766057
2025-02-10,82.77918785940702,1200.0,348.5566642607115,265.7774764013045
2025-02-11,625.0759042170147,1382.04850962963,930.4142914716859,305.33838725467126
2025-02-12,70.50634615952399,1329.14881984127,1263.4399571035767,1192.9336109440528
2025-02-13,0.0,1508.7076284391526,512.6427624202494,512.6427624202494
2025-02-14,0.0,8275.12130878307,0.0,0.0
2025-02-15,0.0,7867.685461481484,0.0,0.0
2025-02-16,1945.9538528641663,1406.5189879365082,5308.151203281887,3362.1973504177213
2025-02-17,0.0,1255.4627531216956,757.3098523155567,757.3098523155567
2025-02-18,0.0,1593.3501941798963,404.85276349321293,404.85276349321293
2025-02-19,3559.385421498579,1200.0,3871.0071227870594,311.6217012884804
2025-02-20,123.2837033702361,1649.859815105818,1032.4496688433744,909.1659654731383
2025-02-21,0.0,8242.423291931216,0.0,0.0
2025-02-22,0.0,8035.81746507937,0.0,0.0
2025-02-23,47.695181528570764,1374.778108439155,960.7877700785801,913.0925885500094
2025-02-24,448.74809318749385,1301.5067808465612,1209.4597687023877,760.7116755148938
2025-02-25,83.16007720238017,1438.2125779365092,1017.8400668977338,934.6799896953536
2025-02-26,744.565245273274,1451.4306057671954,1623.2125717671502,878.6473264938762
2025-02-27,2725.898571214274,1756.3752501587308,3920.901683336427,1195.0031121221532
2025-02-28,0.0,8258.084866957674,0.0,0.0
2025-03-01,0.0,8146.706644550267,0.0,0.0
2025-03-02,30255.80372007059,1340.8088668783066,24428.091182062188,-5827.7125380084035
2025-03-03,23634.055409816196,1284.8708760582012,19727.399375284367,-3906.6560345318285
2025-03-04,0.0,1398.3272267989403,1803.2960041561967,1803.2960041561967
2025-03-05,0.0,1478.4188658994722,360.45918897618816,360.45918897618816
2025-03-06,0.0,1608.484534894183,930.6092245297632,930.6092245297632
2025-03-07,0.0,8476.918442460319,0.0,0.0
2025-03-08,0.0,8329.219507354497,0.0,0.0
2025-03-09,0.0,1549.9428904232777,544.1138492526198,544.1138492526198
2025-03-10,2725.2804312137055,1304.351510873016,5004.009411495224,2278.728980281519
2025-03-11,0.0,1651.877766693115,1065.6139887023942,1065.6139887023942
2025-03-12,358.7069630781119,1288.564041111111,1018.8772265645923,660.1702634864804
2025-03-13,11321.014595565191,1504.3709022486778,9549.651770407434,-1771.3628251577575
2025-03-14,0.0,8523.09366410053,0.0,0.0
2025-03-15,0.0,7906.290058333332,0.0,0.0
2025-03-16,0.0,1756.4711199735432,3294.7292453952296,3294.7292453952296
2025-03-17,0.0,1711.7665405555572,130.36137919082114,130.36137919082114
2025-03-18,3076.9443575676855,1699.0174684920617,3718.0460541107,641.1016965430144
2025-03-19,485.3852435901871,1747.7063174603134,1183.8423260670022,698.4570824768151
2025-03-20,1121.1544291314508,1600.69858989418,1888.4168480460567,767.2624189146059
2025-03-21,0.0,8103.749691058202,0.0,0.0
2025-03-22,0.0,8226.244874894175,0.0,0.0
2025-03-23,1.8720049488636756,1432.5156207407415,1179.0508137750103,1177.1788088261467
