hour,retained,down,up,emergency,total,down_kwh,up_kwh,em_kwh,qA_kwh
0,589.02351832157,0.0,0.0,-1259.196678483333,-670.173160161823,0.0,0.0,-589.6999166666665,1385.920896277763
1,2227.55463488074,0.0,0.0,-3263.767180960408,-1036.2125460797688,0.0,0.0,-1514.9278103926413,5188.84019831568
2,2178.427171403542,0.0,0.0,-3645.9480762161415,-1467.5209048126126,0.0,0.0,-1679.759677678604,5062.394468908664
3,0.0,0.0,0.0,-4924.566702306243,-4924.566702306271,0.0,0.0,-2258.593104413393,0.0
4,418.6588840489276,0.0,0.0,-5106.011667371835,-4687.352783323033,0.0,0.0,-2325.1205484330376,948.7923960178159
5,1080.8491701049497,0.0,0.0,-5882.047452979585,-4801.198282874655,0.0,0.0,-2337.2105237611104,2610.1027517893817
6,-30703.91912909175,15351.95956454676,14418.68178259725,-1089.5234849652452,-2022.801266912982,35326.10611003252,11009.986299402783,-230.9606543785094,-24316.119810627773
7,-57270.75439468195,28635.377197340527,17741.001662278406,-3313.233478330779,-14207.609013393812,73727.26947702549,15455.874025456413,-808.6585392273803,-58271.395451571036
8,-1365.887226143274,682.943613071637,172.5215469355872,-13686.259441089464,-14196.681507225518,1207.817204384948,98.93339324334386,-2503.9361179654325,-1108.883811141604
9,-5426.007062079741,2713.0035310398175,1181.867525034403,-2958.6636422085467,-4489.799648214059,5660.135424805514,828.3014370953817,-494.6189536159359,-4831.833987710244
10,-8620.599752518187,4310.299876259093,2239.332006714751,10203.634128487229,8132.6662589428815,9872.699581777768,1774.222759492671,2096.3052262579886,-8098.476822285098
11,-73191.98188331397,36595.990941657044,70013.65470268388,0.0,33417.663761026924,151118.88075818896,97331.29421244682,0.0,-53787.586545742
12,-63345.08454026899,31672.54227013405,71155.06339542067,-62.77710349999985,39419.74402178568,134560.02945518863,104910.49667031433,-22.09683333333328,-29649.532784876414
13,-35010.72242848172,17505.36121417438,12886.435005069863,-4660.016868414481,-9278.943077651944,40817.320980813034,10031.171121055024,-1063.6806954993708,-30786.149859906058
14,-3698.673260240412,1849.3366301208894,0.00013445024908505975,-26440.150724431052,-28289.487220100324,3944.830695650361,9.559886880339263e-05,-5242.662199502015,-3944.830600050035
15,-108876.88856538222,54438.444282756354,82181.78897955737,-8259.019637128948,19484.325059802737,154975.68819900267,78595.54532204175,-2284.7732446698587,-76380.14287678129
16,-28781.545104490826,14390.772552245418,24887.39715980438,-6230.192005484976,4266.432602073997,33733.57495637779,19496.136124595785,-1503.9333775579307,-14237.438831781968
17,-12239.800720118918,6119.900360059368,5381.063814525729,2431.128884871672,1692.2923393379897,12281.312050559025,3769.832808230176,462.22246143232314,-8511.479242328787
18,-14371.441786795156,7185.720893397543,37.33429593594074,12910.711195263571,5762.324597802013,11373.185243567808,20.214026333111747,2033.424014370244,-11352.971217234852
19,-4462.904099726045,2231.4520498630245,0.0,12112.923790607747,9881.471740744717,3310.587304315966,0.0,1798.257171421541,-3310.587304315959
20,-7753.141004452715,3876.570502226377,0.0,-33773.91563539466,-37650.48613762099,5751.786923277762,0.0,-4881.8093787943,-5751.786923277774
21,-337.5619834463578,168.7809917231199,0.0,817.3965709751355,648.6155792518985,341.9734408329854,0.0,189.82932847106258,-341.9734408331569
22,0.0,0.0,0.0,362.3348182770096,362.33481827704236,0.0,0.0,174.78270876461738,0.0
23,0.0,0.0,0.0,13.551246103488666,13.55124610348139,0.0,0.0,6.380059370757408,0.0
