month,days,mean,std,min,max,p05,p50,p95,share_below_0p1,share_above_1p5
1,31,0.8596372311827958,0.37442567865114845,0.2432,1.6401,0.368515,0.85965,1.4784249999999997,0.0,0.03920250896057348
2,28,0.769570064484127,0.32002208818112127,0.2247,1.447,0.341155,0.77595,1.280735,0.0,0.0
3,31,0.725502105734767,0.3146469046997649,0.0913,1.3583,0.317815,0.71465,1.267685,0.00022401433691756272,0.0
4,30,0.6988475462962963,0.30652178783881784,0.0076,1.3932,0.319485,0.65265,1.26171,0.0020833333333333333,0.0
5,31,0.6911818772401433,0.3078307930380645,0.0389,1.4134,0.319415,0.6347,1.289655,0.0006720430107526882,0.0
6,30,0.7662646527777778,0.31558890808402384,0.1708,1.4509,0.36269,0.7357,1.3499100000000002,0.0,0.0
7,31,0.8301136872759858,0.36649743557810704,0.1337,1.7936,0.404615,0.76385,1.6240949999999996,0.0,0.07034050179211469
8,31,0.7864668010752688,0.36912010483930147,0.0665,1.7686,0.37484500000000004,0.69245,1.5872549999999976,0.00044802867383512545,0.061155913978494625
9,30,0.7202856018518519,0.32099437974067513,0.0376,1.4221,0.326585,0.6864,1.316805,0.0020833333333333333,0.0
10,31,0.7202931675627241,0.31769752287323133,0.039,1.3793,0.317315,0.72,1.2683849999999999,0.0008960573476702509,0.0
11,30,0.7609939351851852,0.32449677713442,0.2088,1.4244,0.3257,0.77395,1.27891,0.0,0.0
12,31,0.8617138216845878,0.37600487856485365,0.2354,1.6698,0.36861499999999997,0.87665,1.483785,0.0,0.03696236559139785
