slot_index,corr_lag1d,corr_lag7d
1,0.4667327945138468,0.7642955002214363
2,0.45898209099909987,0.7602960178820585
3,0.5069715765345005,0.7184106841378264
4,0.5002090383396397,0.7480784481733274
5,0.47955792322301954,0.7629606810803673
6,0.46764248983904155,0.745535601439389
7,0.44961819060001335,0.7018454766599681
8,0.45906903776312896,0.7312751934208791
9,0.44058536490207556,0.7066445383874137
10,0.3919903817498271,0.6825161834542485
11,0.4588353283466317,0.7303178730943046
12,0.42260097951889275,0.7070712030181261
13,0.3930588793971195,0.726289868520842
14,0.38855249186851554,0.7452726971321416
15,0.40872248008185436,0.7178891529652119
16,0.3344902557611282,0.6518619278387727
17,0.3570977271291987,0.7458944130060453
18,0.37157980397526374,0.7313751249452962
19,0.4140289753066323,0.6678495087895394
20,0.37012651611579156,0.7107438310935559
21,0.35740461012324787,0.7092556399282602
22,0.3383103445995244,0.6626950733561937
23,0.31293639166659487,0.6840292589929088
24,0.315636626824188,0.7142657873565703
25,0.29576848405700706,0.6303601929170278
26,0.30780084815911657,0.6869172492100719
27,0.2701799561343504,0.7264397745336879
28,0.2596441451068898,0.7025084601589969
29,0.3300008147021494,0.6634067598789244
30,0.36023025893725413,0.6890015274621444
31,0.3230191382712407,0.6224949106432037
32,0.36467522966318594,0.7391612636826045
33,0.3556249958678128,0.734673406159934
34,0.33881595580926316,0.6252945006890628
35,0.44485427074413464,0.6819851870355507
36,0.4407724616595321,0.8138008616639557
37,0.3892917913481696,0.8939982054507658
38,0.4227470858726567,0.929454135052366
39,0.4906935808195647,0.9273340704707778
40,0.545539150721669,0.9179594248784541
41,0.5662908253350515,0.9390032412147546
42,0.6050722082023421,0.929935714862768
43,0.6789947859345681,0.9139858532315032
44,0.7042245612312767,0.9167775870286078
45,0.6951735972616662,0.9209380854542047
46,0.7059983353515766,0.9196055584804799
47,0.730714005815538,0.9047460726306104
48,0.6188931163232791,0.9283429250730373
49,0.4866229815885102,0.9567868661523968
50,0.46306163652592314,0.9623696535031655
51,0.4699237422420864,0.9516449463184861
52,0.47166479655514637,0.9479635339352569
53,0.4844875613110687,0.9465647077446813
54,0.5009719623948127,0.9329053069789371
55,0.5159777611493696,0.901528259962809
56,0.5299223392392689,0.9097871108393926
57,0.5419859445922356,0.9188372375376151
58,0.5580931805286774,0.9152998991079941
59,0.5503784685474457,0.9082786334589851
60,0.5966691206187283,0.9006813332155472
61,0.7108644748824917,0.8871472483310914
62,0.7151534944094992,0.8849948623236591
63,0.7064320868809547,0.8868831530948671
64,0.7283049889925314,0.8772882355536237
65,0.7409116029265091,0.8743600375580796
66,0.6477209196140673,0.8872419815737151
67,0.4854690909230227,0.8948139793881252
68,0.47388871241045166,0.8870909204978253
69,0.4861819588681932,0.8807965346588441
70,0.4697798098162467,0.8717222144511199
71,0.48206559162249407,0.8808765495648389
72,0.4934602086844871,0.8670390658282179
73,0.501940933662703,0.8414747620448276
74,0.530297811624134,0.8529135886886455
75,0.5134761345065638,0.8522591895309913
76,0.49239627692815574,0.8498920076305448
77,0.49806123308804207,0.8423245180281171
78,0.49862310289772693,0.859754300365694
79,0.46142432488048063,0.8757864586952266
80,0.457982372959852,0.8936639099667774
81,0.46709262348727454,0.8856603253968117
82,0.4691927102847129,0.8812129740969679
83,0.48137126057201013,0.895841213997869
84,0.5659693846574081,0.8962018283581098
85,0.7086338537329206,0.8711740976791551
86,0.7202828343408529,0.8782185763599268
87,0.7070196855901688,0.8857616752649697
88,0.7208908554869439,0.8736962108048377
89,0.7353300015806273,0.8779397106827026
90,0.6418493156742782,0.8925401107227836
91,0.46725838628094635,0.894375497900816
92,0.45689888475708307,0.9032233882570507
93,0.4752591527775526,0.9068018555570357
94,0.46285629833183334,0.8862315667162174
95,0.46745011316981716,0.9162067251300628
96,0.46167258585973653,0.9234389043305321
97,0.4478923416381738,0.9123375816301988
98,0.4650944048958843,0.9273868364426987
99,0.45617285963633747,0.9248086010556089
100,0.4303327129349924,0.91453734754242
101,0.44519470753326795,0.9288614971504566
102,0.41046463632958075,0.9397887354939336
103,0.3595204681258983,0.9535166713342198
104,0.3599408761029108,0.9581464664265337
105,0.35376227025521423,0.9587460620466105
106,0.3289278598580254,0.953363876966368
107,0.3183193433759387,0.9642457384587758
108,0.3331070093175787,0.9510286604980418
109,0.3719762925664574,0.8182153845202901
110,0.38197432721852526,0.8528613775158826
111,0.38864148617687255,0.8796058279038244
112,0.4033749019177488,0.822431318310744
113,0.4131570589783897,0.8655268503477477
114,0.5950994083309792,0.882341832154351
115,0.7961586017024507,0.8519883639035661
116,0.8071913597568459,0.8584333685376863
117,0.7988246385506317,0.8665338357063631
118,0.8085507322229918,0.8495636456762073
119,0.8217977122625579,0.862666331325811
120,0.8072984088677039,0.857138401457483
121,0.7954376695458985,0.8435834581577063
122,0.816566695072328,0.8554000111071728
123,0.8165860233989928,0.8514441541800015
124,0.8101461067647086,0.8401542569635924
125,0.8329784209757474,0.8503476060400222
126,0.7418582063638575,0.8660218323701732
127,0.46732118722447197,0.8682014818805125
128,0.4683544890013174,0.8931091501838077
129,0.505304367724022,0.8744912362774174
130,0.4863167889824127,0.8426563904517996
131,0.47854571202836477,0.8874873462521023
132,0.5181468075107033,0.8712627333078786
133,0.5486536354340673,0.7780091962582221
134,0.5637428256722179,0.7887038108139741
135,0.580160469382915,0.8171166091386228
136,0.549890208075758,0.7625120027899563
137,0.5726536900122016,0.7892624373982094
138,0.5550168944936735,0.7900855655406326
139,0.5302875413749132,0.7489954117193384
140,0.5163580789456782,0.7868044898052349
141,0.5408843134099228,0.8020889743026248
142,0.5390065733822059,0.7725599331840218
143,0.5090486735732129,0.7824383891847018
144,0.5886634830115506,0.7206436689134783
