scheme,scope,days,mape_pct,mape_trim_pct,smape_pct,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_yuan_per_kwh,corr
c0,formal,334,16.330671762303815,16.202608168846652,14.222866287073558,0.10023226150810968,0.136878327519459,0.013164544316258301,0.9144134112915419
c0,workday,185,9.676008680674247,9.676008680674247,10.081063499334334,0.07850989281439594,0.10928111701548175,-0.04120738042379875,0.9533690304079958
c0,sat_class,93,34.081562138273576,33.622935625171756,25.47809914989777,0.16061487779892647,0.19366506350058366,0.15025533640065172,0.9220842024985044
c0,sunday,46,9.133990031531546,9.133990031531546,9.608415003496162,0.07538330583299926,0.10531440351313619,-0.04227066528228053,0.9576533230520113
c0,holiday,10,7.4633942374846125,7.4633942374846125,7.399028140439889,0.05484294694272559,0.07079168548799605,-0.0008972502242660311,0.9755343768571637
b0,formal,334,13.78009171976237,13.737234459999812,13.088952204216863,0.08432562999001995,0.12383705069717323,-0.0005931823852295407,0.9320466561926088
b0,workday,185,6.323949097618313,6.323949097618313,6.382788485190829,0.04344296171171171,0.05947363184437083,-0.002832293543543543,0.9842982063076109
b0,sat_class,93,24.131031701855914,23.97787891503655,19.304698813542878,0.11794481780167262,0.1586089407873032,0.09701905615292712,0.9261465905663859
b0,sunday,46,24.32771853812299,24.32771853812299,28.85763726145512,0.1893838768115942,0.21333098843819978,-0.18918740942028986,0.9575728581108994
b0,holiday,10,6.935905031498568,6.935905031498568,6.8105862761705565,0.04472861111111111,0.05889180097621588,0.0005699999999999995,0.982508847464911
b1,formal,334,7.64920245304143,7.605123393336798,7.4981088916564,0.04715133898868929,0.06534803830793451,-0.00015489437791084518,0.9810846920037065
b1,workday,185,6.584484206111428,6.584484206111428,6.550567290511788,0.046129624624624624,0.06377331208926532,-0.0009395270270270267,0.9818399516704504
b1,sat_class,93,10.186815906682124,10.028691437782063,9.74981136072104,0.0479339605734767,0.06603078731212086,-0.00039910394265232945,0.9757644390868876
b1,sunday,46,6.713134176959196,6.713134176959196,6.677472938970724,0.04777140700483092,0.06724102161569755,0.0002901570048309185,0.9798122098010262
b1,holiday,10,8.052598972366326,8.052598972366326,7.8617209328846585,0.05592236111111111,0.07773826688889385,0.014584722222222225,0.9728175396240097
b2,formal,334,13.650712825426197,13.5578461142266,12.343427788943732,0.08266989117004088,0.10526567023993323,-0.0003238689288090477,0.9496774885011333
b2,workday,185,8.11330468192165,8.11330468192165,8.523912164373112,0.062369592449592455,0.07842415406276862,-0.05356201415701416,0.9857173712834978
b2,sat_class,93,28.21034055241334,27.877888543794306,22.43678444609741,0.13705338154975252,0.15582239138057288,0.13666899214883085,0.9728941866493016
b2,sunday,46,7.631285974094254,7.631285974094254,8.056628703804833,0.05897859730848861,0.07301564812612582,-0.05275473602484472,0.9889665708571352
b2,holiday,10,8.377589135406824,8.377589135406824,8.855525723609931,0.061438908730158726,0.07736715681970664,-0.04826980158730158,0.9814909826649709
gk,formal,334,6.592803150670652,6.54479691076003,6.35396928095938,0.04091741443242785,0.05882748109537591,-0.0004264691087849956,0.9845709197926785
gk,workday,185,5.534172875855931,5.534172875855931,5.428007759312372,0.03872165710401026,0.056211996095297145,-0.0009739116917079126,0.9858279607356473
gk,sat_class,93,8.735076278603803,8.562817460339783,8.151286169320219,0.041443752318285065,0.05797970023402794,-0.0006247598279815945,0.9811682503953747
gk,sunday,46,6.139575073878696,6.139575073878696,6.080191082790728,0.04519539442608361,0.06441390577100063,-0.0005268912758359239,0.9813063099795374
gk,holiday,10,8.339172298207737,8.339172298207737,8.028590081248963,0.05696527469886452,0.08234667571519444,0.01200726433225161,0.9685237774554991
gk_wd,formal,334,10.458122146155354,10.390668348244674,9.99257589020279,0.06493579254040671,0.09097478651618057,-0.0028070089042945452,0.9627259426963227
gk_wd,workday,185,5.534172875855931,5.534172875855931,5.428007759312372,0.03872165710401026,0.056211996095297145,-0.0009739116917079126,0.9858279607356473
gk_wd,sat_class,93,16.40442364514275,16.16260121895984,13.674945270007491,0.07697223168108804,0.0968715966852454,0.06996121772101004,0.9758524499549508
gk_wd,sunday,46,17.47581151863033,17.47581151863033,19.706430841517914,0.13754447850130208,0.15816958902553765,-0.13630296971031616,0.9727132599438567
gk_wd,holiday,10,13.969208592727114,13.969208592727114,15.507318303442188,0.10395845868528626,0.12499132444610904,-0.09938239524478051,0.9707957114660057
